Symbol	ID	Name	Synonyms	Chromosome	Category
PDIA3	2923	protein disulfide isomerase family A member 3	ER60|ERp57|ERp60|ERp61|GRP57|GRP58|HEL-S-269|HEL-S-93n|HsT17083|P58|PI-PLC	15	Antigen_Processing_and_Presentation
HFE	3077	homeostatic iron regulator	HFE1|HH|HLA-H|MVCD7|TFQTL2	6	Antigen_Processing_and_Presentation
HLA-A	3105	"major histocompatibility complex, class I, A"	HLAA	6	Antigen_Processing_and_Presentation
HLA-B	3106	"major histocompatibility complex, class I, B"	AS|B-4901|HLAB	6	Antigen_Processing_and_Presentation
HLA-C	3107	"major histocompatibility complex, class I, C"	D6S204|HLA-JY3|HLAC|HLC-C|MHC|PSORS1	6	Antigen_Processing_and_Presentation
HLA-DMA	3108	"major histocompatibility complex, class II, DM alpha"	D6S222E|DMA|HLADM|RING6	6	Antigen_Processing_and_Presentation
HLA-DMB	3109	"major histocompatibility complex, class II, DM beta"	D6S221E|RING7	6	Antigen_Processing_and_Presentation
HLA-DOA	3111	"major histocompatibility complex, class II, DO alpha"	HLA-DNA|HLA-DZA|HLADZ	6	Antigen_Processing_and_Presentation
HLA-DOB	3112	"major histocompatibility complex, class II, DO beta"	DOB|HLA_DOB	6	Antigen_Processing_and_Presentation
HLA-DPA1	3113	"major histocompatibility complex, class II, DP alpha 1"	DP(W3)|DP(W4)|DPA1|HLA-DP1A|HLA-DPB1|HLADP|HLASB|PLT1	6	Antigen_Processing_and_Presentation
HLA-DPB1	3115	"major histocompatibility complex, class II, DP beta 1"	DPB1|HLA-DP|HLA-DP1B|HLA-DPB	6	Antigen_Processing_and_Presentation
HLA-DQA1	3117	"major histocompatibility complex, class II, DQ alpha 1"	CELIAC1|DQ-A1|DQA1|HLA-DQA	6	Antigen_Processing_and_Presentation
HLA-DQA2	3118	"major histocompatibility complex, class II, DQ alpha 2"	DC-alpha|DX-ALPHA|HLA-DCA|HLA-DXA|HLADQA2	6	Antigen_Processing_and_Presentation
HLA-DQB1	3119	"major histocompatibility complex, class II, DQ beta 1"	CELIAC1|HLA-DQB|IDDM1	6	Antigen_Processing_and_Presentation
HLA-DRA	3122	"major histocompatibility complex, class II, DR alpha"	HLA-DRA1	6	Antigen_Processing_and_Presentation
HLA-DRB1	3123	"major histocompatibility complex, class II, DR beta 1"	DRB1|HLA-DR1B|HLA-DRB|SS1	6	Antigen_Processing_and_Presentation
HLA-DRB3	3125	"major histocompatibility complex, class II, DR beta 3"	DRB3|HLA-DPB1|HLA-DR1B|HLA-DR3B	6	Antigen_Processing_and_Presentation
HLA-DRB4	3126	"major histocompatibility complex, class II, DR beta 4"	DR4|DRB4|HLA-DR4B|HLA-DRB4*	6	Antigen_Processing_and_Presentation
HLA-DRB5	3127	"major histocompatibility complex, class II, DR beta 5"	-	6	Antigen_Processing_and_Presentation
HLA-E	3133	"major histocompatibility complex, class I, E"	HLA-6.2|QA1	6	Antigen_Processing_and_Presentation
HLA-F	3134	"major histocompatibility complex, class I, F"	CDA12|HLA-5.4|HLA-CDA12|HLAF	6	Antigen_Processing_and_Presentation
HLA-G	3135	"major histocompatibility complex, class I, G"	MHC-G	6	Antigen_Processing_and_Presentation
HLA-H	3136	"major histocompatibility complex, class I, H (pseudogene)"	HLAHP	6	Antigen_Processing_and_Presentation
MR1	3140	"major histocompatibility complex, class I-related"	HLALS	1	Antigen_Processing_and_Presentation
HSPA1A	3303	heat shock protein family A (Hsp70) member 1A	HEL-S-103|HSP70-1|HSP70-1A|HSP70-2|HSP70.1|HSP70.2|HSP70I|HSP72|HSPA1	6	Antigen_Processing_and_Presentation
HSPA1B	3304	heat shock protein family A (Hsp70) member 1B	HSP70-1|HSP70-1B|HSP70-2|HSP70.1|HSP70.2|HSP72|HSPA1|HSX70	6	Antigen_Processing_and_Presentation
HSPA1L	3305	heat shock protein family A (Hsp70) member 1 like	HSP70-1L|HSP70-HOM|HSP70T|hum70t	6	Antigen_Processing_and_Presentation
HSPA2	3306	heat shock protein family A (Hsp70) member 2	HSP70-2|HSP70-3	14	Antigen_Processing_and_Presentation
HSPA4	3308	heat shock protein family A (Hsp70) member 4	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	5	Antigen_Processing_and_Presentation
HSPA5	3309	heat shock protein family A (Hsp70) member 5	BIP|GRP78|HEL-S-89n|MIF2	9	Antigen_Processing_and_Presentation
HSPA6	3310	heat shock protein family A (Hsp70) member 6	HSP70B'	1	Antigen_Processing_and_Presentation
HSPA8	3312	heat shock protein family A (Hsp70) member 8	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	11	Antigen_Processing_and_Presentation
HSP90AA1	3320	heat shock protein 90 alpha family class A member 1	EL52|HEL-S-65p|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp103|Hsp89|Hsp90|LAP-2|LAP2	14	Antigen_Processing_and_Presentation
HSP90AB1	3326	heat shock protein 90 alpha family class B member 1	D6S182|HSP84|HSP90B|HSPC2|HSPCB	6	Antigen_Processing_and_Presentation
ICAM1	3383	intercellular adhesion molecule 1	BB2|CD54|P3.58	19	Antigen_Processing_and_Presentation
IFNA1	3439	interferon alpha 1	IFL|IFN|IFN-ALPHA|IFN-alphaD|IFNA13|IFNA@|leIF D	9	Antigen_Processing_and_Presentation
IFNA2	3440	interferon alpha 2	IFN-alpha-2|IFN-alphaA|IFNA|IFNA2B|leIF A	9	Antigen_Processing_and_Presentation
IFNA4	3441	interferon alpha 4	IFN-alpha4a|INFA4	9	Antigen_Processing_and_Presentation
IFNA5	3442	interferon alpha 5	IFN-alpha-5|IFN-alphaG|INA5|INFA5|leIF G	9	Antigen_Processing_and_Presentation
IFNA6	3443	interferon alpha 6	IFN-alphaK	9	Antigen_Processing_and_Presentation
IFNA7	3444	interferon alpha 7	IFN-alphaJ|IFNA-J	9	Antigen_Processing_and_Presentation
IFNA8	3445	interferon alpha 8	IFN-alphaB	9	Antigen_Processing_and_Presentation
IFNA10	3446	interferon alpha 10	IFN-alphaC	9	Antigen_Processing_and_Presentation
IFNA13	3447	interferon alpha 13	-	9	Antigen_Processing_and_Presentation
IFNA14	3448	interferon alpha 14	IFN-alphaH|LEIF2H	9	Antigen_Processing_and_Presentation
IFNA16	3449	interferon alpha 16	IFN-alpha-16|IFN-alphaO	9	Antigen_Processing_and_Presentation
IFNA17	3451	interferon alpha 17	IFN-alphaI|IFNA|INFA|LEIF2C1	9	Antigen_Processing_and_Presentation
IFNA21	3452	interferon alpha 21	IFN-alphaI|LeIF F|leIF-F	9	Antigen_Processing_and_Presentation
IFNG	3458	interferon gamma	IFG|IFI	12	Antigen_Processing_and_Presentation
KIR2DL1	3802	"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1"	CD158A|KIR-K64|KIR221|KIR2DL3|NKAT|NKAT-1|NKAT1|p58.1	19	Antigen_Processing_and_Presentation
KIR2DL2	3803	"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2"	CD158B1|CD158b|NKAT-6|NKAT6|p58.2	19	Antigen_Processing_and_Presentation
KIR2DL3	3804	"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3"	CD158B2|CD158b|GL183|KIR-023GB|KIR-K7b|KIR-K7c|KIR2DL|KIR2DS5|KIRCL23|NKAT|NKAT2|NKAT2A|NKAT2B|p58	19	Antigen_Processing_and_Presentation
KIR2DL4	3805	"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4"	CD158D|G9P|KIR-103AS|KIR-2DL4|KIR103|KIR103AS	19	Antigen_Processing_and_Presentation
KIR2DS1	3806	"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1"	CD158H|CD158a|p50.1	19	Antigen_Processing_and_Presentation
KIR2DS3	3808	"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3"	NKAT7	19	Antigen_Processing_and_Presentation
KIR2DS4	3809	"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4"	CD158I|KIR-2DS4|KIR1D|KIR412|KKA3|NKAT-8|NKAT8	19	Antigen_Processing_and_Presentation
KIR2DS5	3810	"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5"	CD158G|NKAT9	19	Antigen_Processing_and_Presentation
KIR3DL1	3811	"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"	CD158E1|KIR|KIR3DL1/S1|NKAT-3|NKAT3|NKB1|NKB1B	19	Antigen_Processing_and_Presentation
KIR3DL2	3812	"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2"	3DL2|CD158K|KIR-3DL2|NKAT-4|NKAT4|NKAT4B|p140	19	Antigen_Processing_and_Presentation
KLRC1	3821	killer cell lectin like receptor C1	CD159A|NKG2|NKG2A	12	Antigen_Processing_and_Presentation
KLRC2	3822	killer cell lectin like receptor C2	CD159c|NKG2-C|NKG2C	12	Antigen_Processing_and_Presentation
KLRC3	3823	killer cell lectin like receptor C3	NKG2-E|NKG2E	12	Antigen_Processing_and_Presentation
KLRD1	3824	killer cell lectin like receptor D1	CD94	12	Antigen_Processing_and_Presentation
LTA	4049	lymphotoxin alpha	LT|TNFB|TNFSF1|TNLG1E	6	Antigen_Processing_and_Presentation
CIITA	4261	class II major histocompatibility complex transactivator	C2TA|CIITAIV|MHC2TA|NLRA	16	Antigen_Processing_and_Presentation
MICA	100507436	MHC class I polypeptide-related sequence A	MIC-A|PERB11.1	6	Antigen_Processing_and_Presentation
MICB	4277	MHC class I polypeptide-related sequence B	PERB11.2	6	Antigen_Processing_and_Presentation
NFYA	4800	nuclear transcription factor Y subunit alpha	CBF-A|CBF-B|HAP2|NF-YA	6	Antigen_Processing_and_Presentation
NFYB	4801	nuclear transcription factor Y subunit beta	CBF-A|CBF-B|HAP3|NF-YB	12	Antigen_Processing_and_Presentation
NFYC	4802	nuclear transcription factor Y subunit gamma	CBF-C|CBFC|H1TF2A|HAP5|HSM|NF-YC	1	Antigen_Processing_and_Presentation
LGMN	5641	legumain	AEP|LGMN1|PRSC1	14	Antigen_Processing_and_Presentation
PSMB8	5696	proteasome 20S subunit beta 8	ALDD|D6S216|D6S216E|JMP|LMP7|NKJO|PRAAS1|PSMB5i|RING10	6	Antigen_Processing_and_Presentation
PSMC1	5700	"proteasome 26S subunit, ATPase 1"	P26S4|S4|p56	14	Antigen_Processing_and_Presentation
PSMC2	5701	"proteasome 26S subunit, ATPase 2"	MSS1|Nbla10058|S7	7	Antigen_Processing_and_Presentation
PSMC3	5702	"proteasome 26S subunit, ATPase 3"	TBP1	11	Antigen_Processing_and_Presentation
PSMC4	5704	"proteasome 26S subunit, ATPase 4"	MIP224|RPT3|S6|TBP-7|TBP7	19	Antigen_Processing_and_Presentation
PSMC5	5705	"proteasome 26S subunit, ATPase 5"	S8|SUG-1|SUG1|TBP10|TRIP1|p45|p45/SUG	17	Antigen_Processing_and_Presentation
PSMC6	5706	"proteasome 26S subunit, ATPase 6"	SUG2|p42	14	Antigen_Processing_and_Presentation
PSMD1	5707	"proteasome 26S subunit, non-ATPase 1"	P112|Rpn2|S1	2	Antigen_Processing_and_Presentation
PSMD2	5708	"proteasome 26S subunit, non-ATPase 2"	P97|RPN1|S2|TRAP2	3	Antigen_Processing_and_Presentation
PSMD3	5709	"proteasome 26S subunit, non-ATPase 3"	P58|RPN3|S3|TSTA2	17	Antigen_Processing_and_Presentation
PSMD4	5710	"proteasome 26S subunit, non-ATPase 4"	AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5	1	Antigen_Processing_and_Presentation
PSMD5	5711	"proteasome 26S subunit, non-ATPase 5"	S5B	9	Antigen_Processing_and_Presentation
PSMD7	5713	"proteasome 26S subunit, non-ATPase 7"	MOV34|P40|Rpn8|S12	16	Antigen_Processing_and_Presentation
PSMD8	5714	"proteasome 26S subunit, non-ATPase 8"	HEL-S-91n|HIP6|HYPF|Nin1p|Rpn12|S14|p31	19	Antigen_Processing_and_Presentation
PSMD10	5716	"proteasome 26S subunit, non-ATPase 10"	dJ889N15.2|p28|p28(GANK)	X	Antigen_Processing_and_Presentation
PSMD11	5717	"proteasome 26S subunit, non-ATPase 11"	Rpn6|S9|p44.5	17	Antigen_Processing_and_Presentation
PSMD13	5719	"proteasome 26S subunit, non-ATPase 13"	HSPC027|Rpn9|S11|p40.5	11	Antigen_Processing_and_Presentation
PSME1	5720	proteasome activator subunit 1	HEL-S-129m|IFI5111|PA28A|PA28alpha|REGalpha	14	Antigen_Processing_and_Presentation
PSME1	5720	proteasome activator subunit 1	HEL-S-129m|IFI5111|PA28A|PA28alpha|REGalpha	14	Antigen_Processing_and_Presentation
PSME2	5721	proteasome activator subunit 2	PA28B|PA28beta|REGbeta	14	Antigen_Processing_and_Presentation
PSME2	5721	proteasome activator subunit 2	PA28B|PA28beta|REGbeta	14	Antigen_Processing_and_Presentation
RELB	5971	"RELB proto-oncogene, NF-kB subunit"	I-REL|IMD53|IREL|REL-B	19	Antigen_Processing_and_Presentation
RFX5	5993	regulatory factor X5	-	1	Antigen_Processing_and_Presentation
RFXAP	5994	regulatory factor X associated protein	-	13	Antigen_Processing_and_Presentation
SLC10A2	6555	solute carrier family 10 member 2	ASBT|IBAT|ISBT|NTCP2|PBAM	13	Antigen_Processing_and_Presentation
TAP1	6890	"transporter 1, ATP binding cassette subfamily B member"	ABC17|ABCB2|APT1|D6S114E|PSF-1|PSF1|RING4|TAP1*0102N|TAP1N	6	Antigen_Processing_and_Presentation
TAP2	6891	"transporter 2, ATP binding cassette subfamily B member"	ABC18|ABCB3|APT2|D6S217E|PSF-2|PSF2|RING11	6	Antigen_Processing_and_Presentation
TAPBP	6892	TAP binding protein	NGS17|TAPA|TPN|TPSN	6	Antigen_Processing_and_Presentation
THBS1	7057	thrombospondin 1	THBS|THBS-1|TSP|TSP-1|TSP1	15	Antigen_Processing_and_Presentation
SEM1	7979	SEM1 26S proteasome complex subunit	C7orf76|DSS1|ECD|SHFD1|SHFM1|SHSF1|Shfdg1	7	Antigen_Processing_and_Presentation
KLRC4	8302	killer cell lectin like receptor C4	NKG2-F|NKG2F	12	Antigen_Processing_and_Presentation
AP3B1	8546	adaptor related protein complex 3 subunit beta 1	ADTB3|ADTB3A|HPS|HPS2|PE	5	Antigen_Processing_and_Presentation
RFXANK	8625	regulatory factor X associated ankyrin containing protein	ANKRA1|BLS|F14150_1|RFX-B	19	Antigen_Processing_and_Presentation
PSMD6	9861	"proteasome 26S subunit, non-ATPase 6"	Rpn7|S10|SGA-113M|p42A|p44S10	3	Antigen_Processing_and_Presentation
PSME3	10197	proteasome activator subunit 3	HEL-S-283|Ki|PA28-gamma|PA28G|PA28gamma|REG-GAMMA	17	Antigen_Processing_and_Presentation
PSMD14	10213	"proteasome 26S subunit, non-ATPase 14"	PAD1|POH1|RPN11	2	Antigen_Processing_and_Presentation
CLEC4M	10332	C-type lectin domain family 4 member M	CD209L|CD299|DC-SIGN2|DC-SIGNR|DCSIGNR|HP10347|L-SIGN|LSIGN	19	Antigen_Processing_and_Presentation
IFI30	10437	IFI30 lysosomal thiol reductase	GILT|IFI-30|IP-30|IP30	19	Antigen_Processing_and_Presentation
PROCR	10544	protein C receptor	CCCA|CCD41|EPCR	20	Antigen_Processing_and_Presentation
ADRM1	11047	adhesion regulating molecule 1	ARM-1|ARM1|GP110	20	Antigen_Processing_and_Presentation
ECPAS	23392	Ecm29 proteasome adaptor and scaffold	ECM29|KIAA0368	9	Antigen_Processing_and_Presentation
TRPC4AP	26133	transient receptor potential cation channel subfamily C member 4 associated protein	C20orf188|PPP1R158|TRRP4AP|TRUSS	20	Antigen_Processing_and_Presentation
CD209	30835	CD209 molecule	CDSIGN|CLEC4L|DC-SIGN|DC-SIGN1	19	Antigen_Processing_and_Presentation
UBXN1	51035	UBX domain protein 1	2B28|SAKS1|UBXD10	11	Antigen_Processing_and_Presentation
ERAP1	51752	endoplasmic reticulum aminopeptidase 1	A-LAP|ALAP|APPILS|ARTS-1|ARTS1|ERAAP|ERAAP1|PILS-AP|PILSAP	5	Antigen_Processing_and_Presentation
TAPBPL	55080	TAP binding protein like	TAPBP-R|TAPBPR	12	Antigen_Processing_and_Presentation
KIR2DL5A	57292	"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A"	CD158F|KIR2DL5|KIR2DL5.1|KIR2DL5.3	19	Antigen_Processing_and_Presentation
ERAP2	64167	endoplasmic reticulum aminopeptidase 2	L-RAP|LRAP	5	Antigen_Processing_and_Presentation
ULBP3	79465	UL16 binding protein 3	N2DL-3|NKG2DL3|RAET1N	6	Antigen_Processing_and_Presentation
ULBP2	80328	UL16 binding protein 2	ALCAN-alpha|N2DL2|NKG2DL2|RAET1H|RAET1L	6	Antigen_Processing_and_Presentation
ULBP1	80329	UL16 binding protein 1	N2DL-1|NKG2DL1|RAET1I	6	Antigen_Processing_and_Presentation
KIR3DL3	115653	"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3"	CD158Z|KIR3DL7|KIR44|KIRC1	19	Antigen_Processing_and_Presentation
RAET1E	135250	retinoic acid early transcript 1E	LETAL|N2DL-4|NKG2DL4|RAET1E2|RL-4|ULBP4|bA350J20.7	6	Antigen_Processing_and_Presentation
RAET1L	154064	retinoic acid early transcript 1L	ULBP6	6	Antigen_Processing_and_Presentation
UBR1	197131	ubiquitin protein ligase E3 component n-recognin 1	JBS	15	Antigen_Processing_and_Presentation
RAET1G	353091	retinoic acid early transcript 1G	ULBP5	6	Antigen_Processing_and_Presentation
PDIA2	64714	protein disulfide isomerase family A member 2	PDA2|PDI|PDIP|PDIR	16	Antigen_Processing_and_Presentation
HAMP	57817	hepcidin antimicrobial peptide	HEPC|HFE2B|LEAP1|PLTR	19	Antimicrobials
PI3	5266	peptidase inhibitor 3	ESI|SKALP|WAP3|WFDC14|cementoin	20	Antimicrobials
CAMP	820	cathelicidin antimicrobial peptide	CAP-18|CAP18|CRAMP|FALL-39|FALL39|HSD26|LL37	3	Antimicrobials
DEFB4A	1673	defensin beta 4A	BD-2|DEFB-2|DEFB102|DEFB2|DEFB4|HBD-2|SAP1	8	Antimicrobials
PPBP	5473	pro-platelet basic protein	B-TG1|Beta-TG|CTAP-III|CTAP3|CTAPIII|CXCL7|LA-PF4|LDGF|MDGF|NAP-2|PBP|SCYB7|TC1|TC2|TGB|TGB1|THBGB|THBGB1	4	Antimicrobials
REG3G	130120	regenerating family member 3 gamma	LPPM429|PAP IB|PAP-1B|PAP1B|PAPIB|REG III|REG-III|UNQ429	2	Antimicrobials
CXCL14	9547	C-X-C motif chemokine ligand 14	BMAC|BRAK|KEC|KS1|MIP-2g|MIP2G|NJAC|SCYB14	5	Antimicrobials
CXCL16	58191	C-X-C motif chemokine ligand 16	CXCLG16|SR-PSOX|SRPSOX	17	Antimicrobials
SLPI	6590	secretory leukocyte peptidase inhibitor	ALK1|ALP|BLPI|HUSI|HUSI-I|MPI|WAP4|WFDC4	20	Antimicrobials
CXCL8	3576	C-X-C motif chemokine ligand 8	GCP-1|GCP1|IL8|LECT|LUCT|LYNAP|MDNCF|MONAP|NAF|NAP-1|NAP1|SCYB8	4	Antimicrobials
CXCL10	3627	C-X-C motif chemokine ligand 10	C7|IFI10|INP10|IP-10|SCYB10|crg-2|gIP-10|mob-1	4	Antimicrobials
CXCL9	4283	C-X-C motif chemokine ligand 9	CMK|Humig|MIG|SCYB9|crg-10	4	Antimicrobials
CXCL5	6374	C-X-C motif chemokine ligand 5	ENA-78|SCYB5	4	Antimicrobials
CXCL11	6373	C-X-C motif chemokine ligand 11	H174|I-TAC|IP-9|IP9|SCYB11|SCYB9B|b-R1	4	Antimicrobials
CXCL6	6372	C-X-C motif chemokine ligand 6	CKA-3|GCP-2|GCP2|SCYB6	4	Antimicrobials
CXCL1	2919	C-X-C motif chemokine ligand 1	FSP|GRO1|GROa|MGSA|MGSA-a|NAP-3|SCYB1	4	Antimicrobials
CXCL12	6387	C-X-C motif chemokine ligand 12	IRH|PBSF|SCYB12|SDF1|TLSF|TPAR1	10	Antimicrobials
CXCL13	10563	C-X-C motif chemokine ligand 13	ANGIE|ANGIE2|BCA-1|BCA1|BLC|BLR1L|SCYB13	4	Antimicrobials
CXCL2	2920	C-X-C motif chemokine ligand 2	CINC-2a|GRO2|GROb|MGSA-b|MIP-2a|MIP2|MIP2A|SCYB2	4	Antimicrobials
PF4	5196	platelet factor 4	CXCL4|PF-4|SCYB4	4	Antimicrobials
XCL1	6375	X-C motif chemokine ligand 1	ATAC|LPTN|LTN|SCM-1|SCM-1a|SCM1|SCM1A|SCYC1	1	Antimicrobials
CXCL3	2921	C-X-C motif chemokine ligand 3	CINC-2b|GRO3|GROg|MIP-2b|MIP2B|SCYB3	4	Antimicrobials
DEFB103B	55894	defensin beta 103B	BD-3|DEFB-3|DEFB103|DEFB3|HBD-3|HBD3|HBP-3|HBP3	8	Antimicrobials
CCL13	6357	C-C motif chemokine ligand 13	CKb10|MCP-4|NCC-1|NCC1|SCYA13|SCYL1	17	Antimicrobials
CCL1	6346	C-C motif chemokine ligand 1	I-309|P500|SCYA1|SISe|TCA3	17	Antimicrobials
DEFB1	1672	defensin beta 1	BD1|DEFB-1|DEFB101|HBD1	8	Antimicrobials
CCL8	6355	C-C motif chemokine ligand 8	HC14|MCP-2|MCP2|SCYA10|SCYA8	17	Antimicrobials
ELANE	1991	"elastase, neutrophil expressed"	ELA2|GE|HLE|HNE|NE|PMN-E|SCN1	19	Antimicrobials
DEFB103A	414325	defensin beta 103A	BD-3|DEFB-3|DEFB103|DEFB3|HBD3|HBP-3|HBP3	8	Antimicrobials
DEFA3	1668	defensin alpha 3	DEF3|HNP-3|HNP3|HP-3|HP3	8	Antimicrobials
DEFA1	1667	defensin alpha 1	DEF1|DEFA2|HNP-1|HP-1|HP1|MRS	8	Antimicrobials
TMSB10	9168	thymosin beta 10	MIG12|TB10	2	Antimicrobials
DEFA6	1671	defensin alpha 6	DEF6|HD-6	8	Antimicrobials
DEFA5	1670	defensin alpha 5	DEF5|HD-5	8	Antimicrobials
DEFA4	1669	defensin alpha 4	DEF4|HNP-4|HP-4|HP4	8	Antimicrobials
LCN2	3934	lipocalin 2	24p3|MSFI|NGAL|p25	9	Antimicrobials
LCN1	3933	lipocalin 1	PMFA|TLC|TP|VEGP	9	Antimicrobials
COLEC10	10584	collectin subfamily member 10	3MC3|CL-34|CLL1	8	Antimicrobials
BPI	671	bactericidal permeability increasing protein	BPIFD1|rBPI	20	Antimicrobials
S100A9	6280	S100 calcium binding protein A9	60B8AG|CAGB|CFAG|CGLB|L1AG|LIAG|MAC387|MIF|MRP14|NIF|P14	1	Antimicrobials
S100A8	6279	S100 calcium binding protein A8	60B8AG|CAGA|CFAG|CGLA|CP-10|L1Ag|MA387|MIF|MRP8|NIF|P8	1	Antimicrobials
DCD	117159	dermcidin	AIDD|DCD-1|DSEP|HCAP|PIF	12	Antimicrobials
LCN6	158062	lipocalin 6	LCN5|UNQ643|hLcn5	9	Antimicrobials
S100A12	6283	S100 calcium binding protein A12	CAAF1|CAGC|CGRP|ENRAGE|MRP-6|MRP6|p6	1	Antimicrobials
HTN3	3347	histatin 3	HIS2|HTN2|HTN5|PB	4	Antimicrobials
LCN8	138307	lipocalin 8	EP17|LCN5	9	Antimicrobials
DEFA1B	728358	defensin alpha 1B	HNP-1|HP-1|HP1	8	Antimicrobials
CCR10	2826	C-C motif chemokine receptor 10	GPR2	17	Antimicrobials
CELA1	1990	chymotrypsin like elastase 1	ELA1	12	Antimicrobials
DEFB106A	245909	defensin beta 106A	BD-6|DEFB-6|DEFB106	8	Antimicrobials
PENK	5179	proenkephalin	PE|PENK-A	8	Antimicrobials
BPIFC	254240	BPI fold containing family C	BPIL2	22	Antimicrobials
MMP12	4321	matrix metallopeptidase 12	HME|ME|MME|MMP-12	11	Antimicrobials
BPIFB6	128859	BPI fold containing family B member 6	BPIL3|LPLUNC6	20	Antimicrobials
LEAP2	116842	liver enriched antimicrobial peptide 2	LEAP-2	5	Antimicrobials
SFTPD	6441	surfactant protein D	COLEC7|PSP-D|SFTP4|SP-D	10	Antimicrobials
LCN9	392399	lipocalin 9	HEL129	9	Antimicrobials
BPIFB2	80341	BPI fold containing family B member 2	BPIL1|C20orf184|LPLUNC2|RYSR|dJ726C3.2	20	Antimicrobials
PTGDS	5730	prostaglandin D2 synthase	L-PGDS|LPGDS|PDS|PGD2|PGDS|PGDS2	9	Antimicrobials
TMSB4X	7114	thymosin beta 4 X-linked	FX|PTMB4|TB4X|TMSB4	X	Antimicrobials
PGLYRP1	8993	peptidoglycan recognition protein 1	PGLYRP|PGRP|PGRP-S|PGRPS|TAG7|TNFSF3L	19	Antimicrobials
ZC3HAV1	56829	"zinc finger CCCH-type containing, antiviral 1"	ARTD13|FLB6421|PARP13|ZAP|ZC3H2|ZC3HDC2	7	Antimicrobials
TMSB15A	11013	thymosin beta 15a	TMSB15|TMSB15B|TMSL8|TMSNB|Tb15|TbNB	X	Antimicrobials
S100B	6285	S100 calcium binding protein B	NEF|S100|S100-B|S100beta	21	Antimicrobials
S100A13	6284	S100 calcium binding protein A13	-	1	Antimicrobials
S100A6	6277	S100 calcium binding protein A6	2A9|5B10|CABP|CACY|PRA|S10A6	1	Antimicrobials
DEFB119	245932	defensin beta 119	DEFB-19|DEFB-20|DEFB120|DEFB20|ESC42-RELA|ESC42-RELB	20	Antimicrobials
DEFB107A	245910	defensin beta 107A	BD-7|DEFB-7|DEFB107	8	Antimicrobials
DEFB105A	245908	defensin beta 105A	BD-5|DEFB-5|DEFB105	8	Antimicrobials
